,x,y
0,694.4342928660826,600.5008347245409
1,690.4317897371715,600.5008347245409
2,678.424280350438,600.5008347245409
3,652.4080100125157,600.5008347245409
4,610.3817271589487,608.5075125208681
5,578.3617021276596,620.5175292153589
6,546.3416770963704,632.5275459098498
7,518.3241551939925,648.5409015025042
8,492.3078848560701,664.5542570951586
9,466.29161451814775,682.5692821368948
10,446.279098873592,700.5843071786311
11,430.26908635794746,718.5993322203674
12,416.26032540675845,736.6143572621035
13,408.2553191489361,750.626043405676
14,402.25156445556945,760.6343906510851
15,398.2490613266583,770.6427378964942
16,396.24780976220273,778.6494156928214
17,392.2453066332916,790.6594323873122
18,390.244055068836,804.6711185308848
19,388.2428035043805,822.686143572621
20,384.2403003754693,842.7028380634391
21,384.2403003754693,860.7178631051753
22,384.2403003754693,874.7295492487478
23,384.2403003754693,884.7378964941569
24,384.2403003754693,892.7445742904841
25,384.2403003754693,900.7512520868113
26,384.2403003754693,910.7595993322203
27,384.2403003754693,920.7679465776295
28,384.2403003754693,928.7746243739566
29,384.2403003754693,934.779632721202
30,384.2403003754693,938.7829716193656
31,386.24155193992493,938.7829716193656
